iter	Passed	Remaining
0	3	1866
1	7	1805
2	11	1873
3	14	1788
4	17	1739
5	21	1774
6	24	1740
7	27	1703
8	30	1674
9	34	1711
10	37	1667
11	40	1647
12	43	1633
13	46	1615
14	51	1664
15	55	1680
16	59	1677
17	62	1681
18	66	1695
19	69	1663
20	72	1654
21	76	1653
22	78	1629
23	82	1627
24	85	1624
25	88	1617
26	93	1629
27	97	1639
28	100	1631
29	103	1625
30	108	1640
31	112	1644
32	116	1642
33	119	1640
34	124	1652
35	128	1651
36	131	1643
37	133	1626
38	138	1634
39	142	1633
40	145	1630
41	150	1636
42	154	1638
43	158	1637
44	161	1633
45	165	1633
46	169	1635
47	173	1633
48	177	1631
49	182	1644
50	186	1640
51	189	1636
52	194	1638
53	198	1639
54	202	1636
55	206	1636
56	210	1638
57	214	1636
58	218	1631
59	222	1628
60	226	1632
61	230	1628
62	234	1627
63	238	1627
64	243	1630
65	247	1629
66	251	1627
67	256	1628
68	260	1626
69	264	1624
70	268	1623
71	273	1623
72	277	1622
73	281	1618
74	286	1623
75	290	1621
76	294	1619
77	300	1623
78	304	1624
79	308	1622
80	313	1622
81	318	1624
82	323	1623
83	327	1622
84	332	1623
85	336	1622
86	340	1617
87	345	1616
88	348	1609
89	351	1602
90	355	1598
91	358	1590
92	361	1582
93	364	1574
94	369	1573
95	372	1567
96	374	1556
97	377	1548
98	380	1542
99	385	1540
100	388	1534
101	391	1528
102	395	1523
103	399	1521
104	403	1516
105	406	1511
106	410	1507
107	414	1505
108	418	1500
109	421	1495
110	425	1492
111	430	1489
112	433	1485
113	437	1481
114	452	1515
115	467	1546
116	479	1570
117	489	1584
118	495	1585
119	500	1584
120	505	1582
121	511	1585
122	519	1592
123	525	1593
124	530	1592
125	535	1588
126	539	1583
127	543	1579
128	548	1577
129	553	1574
130	556	1568
131	562	1567
132	565	1560
133	569	1556
134	575	1555
135	579	1552
136	584	1547
137	588	1544
138	594	1542
139	597	1537
140	602	1533
141	607	1531
142	610	1523
143	613	1517
144	618	1514
145	623	1511
146	627	1506
147	632	1503
148	636	1498
149	640	1494
150	644	1488
151	649	1486
152	653	1482
153	658	1479
154	663	1477
155	667	1472
156	671	1468
157	676	1465
158	681	1461
159	685	1456
160	689	1451
161	695	1451
162	699	1446
163	703	1442
164	710	1441
165	714	1436
166	718	1431
167	723	1429
168	727	1425
169	731	1420
170	736	1417
171	741	1413
172	745	1408
173	750	1405
174	754	1401
175	758	1397
176	763	1393
177	768	1390
178	773	1386
179	777	1382
180	782	1379
181	787	1375
182	791	1371
183	796	1367
184	801	1364
185	805	1360
186	809	1355
187	814	1351
188	818	1347
189	823	1342
190	827	1339
191	832	1335
192	836	1330
193	841	1326
194	845	1322
195	849	1318
196	854	1313
197	859	1310
198	863	1305
199	867	1300
200	872	1297
201	876	1293
202	881	1288
203	886	1286
204	891	1282
205	895	1278
206	900	1274
207	905	1270
208	909	1265
209	913	1262
210	918	1258
211	923	1254
212	927	1249
213	932	1245
214	936	1241
215	940	1236
216	945	1232
217	949	1228
218	953	1223
219	958	1219
220	963	1215
221	967	1211
222	971	1206
223	977	1203
224	980	1198
225	984	1193
226	989	1190
227	994	1186
228	998	1181
229	1004	1178
230	1008	1174
231	1013	1170
232	1018	1166
233	1022	1162
234	1027	1158
235	1031	1153
236	1036	1150
237	1040	1145
238	1044	1140
239	1050	1138
240	1054	1133
241	1059	1129
242	1064	1125
243	1068	1120
244	1072	1116
245	1077	1112
246	1081	1107
247	1085	1103
248	1089	1098
249	1094	1094
250	1098	1089
251	1102	1085
252	1108	1081
253	1112	1077
254	1116	1072
255	1121	1068
256	1126	1064
257	1130	1060
258	1134	1055
259	1139	1051
260	1143	1047
261	1147	1042
262	1153	1039
263	1157	1034
264	1161	1030
265	1166	1026
266	1171	1021
267	1175	1017
268	1179	1013
269	1184	1008
270	1188	1004
271	1192	999
272	1197	995
273	1202	991
274	1206	987
275	1211	983
276	1216	979
277	1220	974
278	1225	970
279	1230	966
280	1234	962
281	1239	958
282	1244	954
283	1248	949
284	1252	944
285	1257	941
286	1261	936
287	1265	931
288	1270	927
289	1275	923
290	1279	918
291	1283	914
292	1288	910
293	1292	905
294	1296	900
295	1301	897
296	1306	892
297	1310	888
298	1316	884
299	1320	880
300	1325	876
301	1330	872
302	1334	867
303	1339	863
304	1344	859
305	1349	855
306	1353	850
307	1358	846
308	1362	842
309	1366	837
310	1370	832
311	1376	829
312	1380	824
313	1384	820
314	1389	816
315	1393	811
316	1398	807
317	1404	803
318	1408	799
319	1413	794
320	1418	790
321	1422	786
322	1427	782
323	1431	777
324	1436	773
325	1440	768
326	1445	764
327	1450	760
328	1454	756
329	1459	751
330	1464	747
331	1468	743
332	1472	738
333	1476	733
334	1481	729
335	1485	725
336	1489	720
337	1495	716
338	1499	712
339	1503	707
340	1507	702
341	1512	698
342	1516	694
343	1520	689
344	1525	685
345	1529	680
346	1534	676
347	1538	672
348	1544	668
349	1547	663
350	1552	658
351	1557	654
352	1561	650
353	1565	645
354	1570	641
355	1574	636
356	1578	632
357	1584	628
358	1588	623
359	1592	619
360	1597	615
361	1602	610
362	1606	606
363	1610	601
364	1615	597
365	1619	592
366	1623	588
367	1628	584
368	1632	579
369	1636	575
370	1641	570
371	1646	566
372	1649	561
373	1654	557
374	1659	553
375	1663	548
376	1667	544
377	1672	539
378	1677	535
379	1681	530
380	1686	526
381	1690	522
382	1694	517
383	1698	513
384	1703	508
385	1707	504
386	1711	499
387	1716	495
388	1720	491
389	1725	486
390	1729	482
391	1734	477
392	1738	473
393	1743	468
394	1747	464
395	1752	460
396	1756	455
397	1761	451
398	1766	447
399	1769	442
400	1774	438
401	1779	433
402	1783	429
403	1787	424
404	1792	420
405	1796	415
406	1800	411
407	1818	410
408	1860	413
409	1889	414
410	1898	411
411	1903	406
412	1908	401
413	1914	397
414	1920	393
415	1931	389
416	1946	387
417	1951	382
418	1957	378
419	1962	373
420	1966	369
421	1971	364
422	1976	359
423	1980	355
424	1986	350
425	1991	345
426	1995	341
427	2001	336
428	2006	331
429	2010	327
430	2015	322
431	2020	318
432	2024	313
433	2030	308
434	2035	304
435	2039	299
436	2045	294
437	2050	290
438	2054	285
439	2060	280
440	2064	276
441	2068	271
442	2073	266
443	2078	262
444	2082	257
445	2088	252
446	2092	248
447	2096	243
448	2100	238
449	2104	233
450	2109	229
451	2113	224
452	2121	220
453	2125	215
454	2129	210
455	2134	205
456	2138	201
457	2143	196
458	2148	191
459	2152	187
460	2156	182
461	2162	177
462	2166	173
463	2170	168
464	2175	163
465	2180	159
466	2184	154
467	2189	149
468	2193	144
469	2197	140
470	2201	135
471	2206	130
472	2210	126
473	2215	121
474	2220	116
475	2225	112
476	2229	107
477	2232	102
478	2237	98
479	2241	93
480	2246	88
481	2251	84
482	2256	79
483	2260	74
484	2265	70
485	2269	65
486	2273	60
487	2277	56
488	2281	51
489	2285	46
490	2290	41
491	2295	37
492	2299	32
493	2303	27
494	2308	23
495	2312	18
496	2316	13
497	2320	9
498	2325	4
499	2329	0
